Designator,Mid X,Mid Y,Rotation,Layer
D1,162.685,-83.09,0.0,top
D10,146.44,-83.76,0.0,top
D2,166.255,-74.09,0.0,top
D3,161.44,-64.76,0.0,top
D4,153.94,-59.26,0.0,top
D5,145.94,-56.76,0.0,top
D6,137.94,-59.26,0.0,top
D7,130.44,-64.76,0.0,top
D8,126.395,-74.18,0.0,top
D9,130.845,-83.18,0.0,top
J1,146.335,-111.585,0.0,bottom
LM3914,146.565,-92.21,90.0,top
POT1,146.495,-103.63,270.0,top
R1,138.845,-102.71,90.0,top
R2,154.145,-102.47,270.0,top
R3,156.645,-102.47,90.0,top
